"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"21.05.2023 15:12:14"
"Gesucht nach";"A 1705"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"14"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"653";"utnassa(li)- 565, A 1705 (u)J!äja(li)- 186614 (u)J!"
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"658";"J (LN) A 1705 kistaman- n. 295 f. Kulan(a)-zita(li)- ("
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"662";"1788 REGIO-ni- A 1705 REL-za-; 313, A 1098 SCRIBA-la- c. A "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"662";"naURBS [Kazzuyadna] A 1705 'L 179'-za (Pl.N.A.n.) "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"665";"c. A 1703, A 1705 Wehnt(i)- (ON) 180 Wehfiteze(/i)- 180 Wehnti-: "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"675";"GezzuJ:!adna-J A 1705 gnussar-* n. 419 kuen-lkun- 316 kuer-lkur- A "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"682";"1843 utne n. A 1705, A 2082, A 2105 (u}J!äi- c. "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"695";"Qgwdn (LN) A 1705 ss A 1182 6. Ägyptisch Tj-r'-gJ-n-"
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"698";"(h.-luw.) A 1705 LAI AT: Problem der Zeichenunterscheidung 234, A 1755 Logogrammdoppelschreibung: "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"702";"i A 1221, A 1705; > lyk. a/ eli 344f., A 2005 c ("
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"703";"e A 1221, A 1705 (lyk.) für fremdsprachiges e 344f., A2005 i ("
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"706";"luw.) 41, 68, A 1705; (lyk.) 69; (lyd.) 85; Verwandtschaftsnamen luw.) ("
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"707";"70, A 1221, A 1705; im Lyk. 70, 345; im Mil. A 1708 Nasalinfixverben "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"712";"[KazZUJ!adna-] A 1705 Kleidung ~ Textilien Kommunikation: Kurier (k.-luw.) 500ff.; "
