"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"21.05.2023 16:01:34"
"Gesucht nach";"A 1749"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"11"             
"Anzahl gefundener Vorkommen";"22"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"IRAQ59.pdf";"";"53";"Nr. 43) 1982.A.1749 (NI'. 46) 1982.A.1750 (Nr. 14) "
"IRAQ59.pdf";"";"68";"a-a 1982.A.1749 sit ul-t[u] rud.1.kaml sit iti."

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"0(22).pdf";"";"17";"1740 149 88 A.1749 1151 58 A.200.5 1153 87 A.3182 1153 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Pedersen 1985 Archives and Libraries in the City of Assur. A Survey of the Material from the German Excavations. Part I. Studia Semitica Upsaliensia 6.pdf";"";"33";"Ph. Ass. 1l51152; A 1749; note I, II 26.10; NTA, pp. 23f., pI. 8; "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Jakob 2003 Mittelassyrische Verwaltung und Sozialstruktur. Untersuchungen CM 29.pdf";"";"150";"1744:4; NTA A.1749:4; NTA A.1765:9; NTA 2604:3; NTA "
"Jakob 2003 Mittelassyrische Verwaltung und Sozialstruktur. Untersuchungen CM 29.pdf";"";"151";"1744:3 NTA A.1749:3 NTA A.2605:3 Text KAJ 208:7 "
"Jakob 2003 Mittelassyrische Verwaltung und Sozialstruktur. Untersuchungen CM 29.pdf";"";"430";"7 Einblick NTA A.1749:8 kompie) NTAA.1751:13 NTA A.l812:16 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Llop & George 2001-2002 Die babylonisch-assyrischen Beziehungen und die innere Lage Assyriens AfO 48-49.pdf";"";"14";"Fehler beim Abrufen des Texts"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"de Ridder 2018 Descriptive Grammar of Middle Assyrian LAOS 8.pdf";"Uberschrift 1";"168";"ma-ia-a A 1749 (NTA, 23):5; u-.a-kal A 113 "
"de Ridder 2018 Descriptive Grammar of Middle Assyrian LAOS 8.pdf";"Uberschrift 1";"387";"1.10 cf. A 1749 (NTA, 23):1.9 A similar distinction can "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Saporetti 1970 Onomastica Medio-Assira StPohl 6.pdf";"";"331";"l0,38 N.79 A.1749: AfO 10,39 N.86 A.1750: AfO l0,40 N."
"Saporetti 1970 Onomastica Medio-Assira StPohl 6.pdf";"";"334";"6096 cc = A.1749 Aasur 6096 cd =A.1746 Asaur 6096 cd2 "
"Saporetti 1970 Onomastica Medio-Assira StPohl 6.pdf";"";"343";"6096 oc = A. 1749 ,Ph.Ass, 1151 f = Assur 6096 cd "
"Saporetti 1970 Onomastica Medio-Assira StPohl 6.pdf";"";"450";"1151 f = A. 1749) , 39-40 N. 87 (Assur 6096 bb "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Dombradi 1997 baqaru- Ein Fall von lexikalischem Transfer infolge von Plurilingualismus Probleme der lexikalischen Interferenz in Sprachkontaktsituationen WO 28.pdf";"";"3";"Åò 391 mit A,1749. Vgl. auch FAOS 20,1 Åò 184ff. und FAOS 20,2, "
"Dombradi 1997 baqaru- Ein Fall von lexikalischem Transfer infolge von Plurilingualismus Probleme der lexikalischen Interferenz in Sprachkontaktsituationen WO 28.pdf";"";"3";"und FAOS 20,2 A.1749. 29) Fur die Gliederung des allgemeinen Formulars vgl. F "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Kilmer 1963 The First Tablet of malku = sarru together with Its Explicit Version JAOS 83.pdf";"";"25";"177. A 178. A 1749. A 180. A 181. AN r xi [r]"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Jursa 1997 Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"2";"(Nr. 43 A.1749 (Nr. 46 A.1750 (Nr. 14 A."
"Jursa 1997 Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"2";"Nr. 43) 1982.A.1749 (Nr. 46) 1982.A.1750 (Nr. 14) "
"Jursa 1997 Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"3";"46 1982.A. A.1749 Nr. 5 5 I 1982.982.A. 1779 1779 "
"Jursa 1997 Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"32";"Nr. 46 1982.A.1749 3,5 ? 4,4 cm 1 e-pus nig.sid "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Saporetti 1979 Gli eponimi medio-assiri. BiMes 9.pdf";"";"153";"Eponimo in NTA, A. 1749 = AJO 10, 39 N. 86 = Assur 6096 "
