"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"21.05.2023 16:09:36"
"Gesucht nach";"A 1758"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"3"              
"Anzahl gefundener Vorkommen";"6"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"WZKM1981.pdf";"";"200";"2.l!l78.1017-A. 1758. KEYDlm, C. The politieal eco!lomy of Turkish democracy. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"IRAQ59.pdf";"";"53";"Nr. 34) 1982.A.1758 (Nr. 33) 1982.A.1759 (Nr. 20) "
"IRAQ59.pdf";"";"63";"l.kam 1982.A.1758 2,4 x 3 cm «71 ... des Zimmermannes "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"2";"(Nr. 34 A.1758 (Nr. 33 A.1759 (Nr. 20 A."
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"2";"Nr. 34) 1982.A.1758 (Nr. 33) 1982.A.1759 (Nr. 20) "
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"21";"Nr. 33 1982.A.1758 2,4 ? 3 cm I 71 (x> rhi1."
