"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"23.05.2023 00:28:53"
"Gesucht nach";"A 3112"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"7"              
"Anzahl gefundener Vorkommen";"14"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Tsouparapoulou_2008_Diss_MFB.pdf";"";"535";"08.01.06 +Hilgert A 3112 ki Ur-ku3-nun-na-/ta ba-zi ."

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"IRAQ59.pdf";"";"54";"Nr. 62) 1982.A.3112 (Nr. 15) 1982.A.3113 (Nr. 55) "
"IRAQ59.pdf";"";"54";"Nr. 15 1982.A.3112 Nr.36 1982.A.1746 Nr. 57 1982.A."
"IRAQ59.pdf";"";"59";"ku.gil 1982.A.3112 51 nu-uroma ku.gi ina rlibl-bi 44 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Charpin & Ziegler 2003 Mari et le Proche-Orient a l'epoque Amorrite- Essai d'Histoire Politique Florilegimum marianum 5.pdf";"";"150";"seconde (inedit A.3112), Samsi-Addu a donne a Yarim-Addu l'ordre d'envoyer "
"Charpin & Ziegler 2003 Mari et le Proche-Orient a l'epoque Amorrite- Essai d'Histoire Politique Florilegimum marianum 5.pdf";"";"293";"224 n. 497 A.3112: 144 n. 560 A.313J+: 82 n. 48;.116 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Foxvog 1974 The sumerian Ventive PhD.pdf";"";"99";"2LU 318 EL A 3112 u4 - da u ru - ~~ l-du- "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Jursa 1997 Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"3";"Nr. 62) 1982.A.3112 (Nr. 15) 1982.A.3113 (Nr. 55) "
"Jursa 1997 Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"3";"14100/B 1982.A.3112(Nr. 15) R14780 A3113 (Nr. 55) A.3114 "
"Jursa 1997 Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"3";"15 1982.A.A.3112 3112 Nr. 36 36 1982.A. A.1746 Nr. "
"Jursa 1997 Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"14";"Nr. 15 1982.A.3112 3x5 cm 1 3 toa^na 57 gin 4ut "
"Jursa 1997 Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spatbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"14";"kU.gil 1982.A.3112 51 nu-uroma ku.gi ina rlib1-bi 44 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"ARM 26 1 Durand 1988 Archives Epistolaires de Mari I 1.pdf";"";"545";"Rmou -A~.3112 0 [AEM 112, n0298], dA a Usur-awassu, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"ARM 26 1 Durand 1988 Archives Epistolaires de Mari I 1.pdf";"";"545";"Rmou -A~.3112 0 [AEM 112, n0298], dA a Usur-awassu, "
