"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"26.05.2023 17:38:30"
"Gesucht nach";"A 32113"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"6"              
"Anzahl gefundener Vorkommen";"6"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"cad_p [2005].pdf";"Untitled";"324";"his ˜eld A.32113 r. 7, cf. KÙ. BABBAR ì-lí-su ubbalamma "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"jcs38.pdf";"";"92";"from Kish (A. 32113;5, courtesy M. Stol). 18. One could pcrhaps read "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"0(9).pdf";"";"5";"from Kish (A. 32113:5, courtesy M. Stol). 18. One could perhaps read "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"AfO 27 1980.pdf";"";"85";"mit Hilfe von A. 32113 (Chicago, unveröffentl.) interpretiert werden. In diesem Text «"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Stol 2016 Rv Borger MesZL OLZ 111.pdf";"00_olzg-2016-111(2)-TOC.indd";"2";"li-šu in A. 32113:19 (unv., Chicago). Zu ì-lí ališunu, s. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Michalowski 1986 An Early Old Babylonian Loan Document JCS 38.pdf";"";"5";"from Kish (A. 32113:5, courtesy Stoll. 18. One could perhaps read DUG "
