"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"27.05.2023 22:28:26"
"Gesucht nach";"A 3658"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"12"             
"Anzahl gefundener Vorkommen";"50"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"cad_s_shin_1 [1989].pdf";"Untitled";"221";"usage a-2') A. 3658:7 (courtesy G. Dossin); uncert.: i-sa-la-"
"cad_s_shin_1 [1989].pdf";"Untitled";"269";"snows in GN A. 3658:6 (Mari let., courtesy G. Dossin); if an "
"cad_s_shin_1 [1989].pdf";"Untitled";"270";"a[m] puhhir A.3658:10 (Mari let., courtesy G. Dossin and J.-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"cad_p [2005].pdf";"Untitled";"61";"collect the snow A.3658:10 (Mari let., courtesy G. Dossin and J.-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"cad_q [1982].pdf";"Untitled";"288";"TIL.LA (A 3658 r. 8, NB); cf. qdpu A. lii.ti.la."
"cad_q [1982].pdf";"Untitled";"290";"KI U Eanna A 3658 r. 8 (NB leg., from Kandalanu, year 8). "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"jcs35.pdf";"";"25";"l,tepi Uruk A 3658. U 4.l,te-pi.KAM. L.55 BM "
"jcs35.pdf";"";"37";"AND PHOTO NUMBERS A 3658 L.38 AO 10337 K.79 A 3674 1.20 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"0.pdf";"";"43";"17,87). YBC 11299. A 3658. U,.be-pi.KAM. FLP 1314. VAT 17901 ("
"0.pdf";"";"68";"AND PHOTO NUMBERS A 3658 L.38 A0 10337 A 3674 1.20 A0 10341 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Frame 1992 Babylonia 689-627 B.C. A Political History PIHANS 69.pdf";"";"319";"no. 8:33; A 3658:33; and Ellis, JCS 36 (1984): 50 no. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"21";"JCS 36:46 No. 9= L.28(640/Bo.) 24 Nergal-[ušezib] Aš. PN "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"80";"11** 4. PN Dš. Bel-le.i, Anatolian Studies 33:153–154= R."
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"92";"3/3 Bel-na.ir-napšati (“Bel is the protector of life”); Akk. masc. "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"94";"Fehler beim Abrufen des Texts"
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"94";"iddin (“Bel has given the name”); Akk. masc. wr. mdEN-MU-SUM.NA; "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"94";"has established the name”); Akk. masc. wr. mdEN-MUGAR-un* mdEN-MU-iš-kun**; "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"101";"Ba.) 12* 1/3 1. PN Aš. [. . . A. . . .], "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"101";"bel-ilani Aš. PN D. Babutu, OECT 10 397= L.92(633/Ba.) 38***; "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"171";"Fehler beim Abrufen des Texts"
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"214";"Fehler beim Abrufen des Texts"
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"242";"751/Bo.) 3**.bit PN 12** 11. Ša-Nabu-šu Aš. PN, M-M "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"248";"wr. mdAG-DA* mdAG-Á.GÁL** mdPA-DA*** mdAG-I****; CAD L 160, PNAE "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"256";"Ni.) 12**** 15. Sîn-iddin Dš. PN, UET 4 32= K.45(657/Ur) "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"270";"No. 20= K.98(653/Uk.) 12* 22. PN D. Samu, HSM 899.2.102= H."
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"275";"Fehler beim Abrufen des Texts"
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"280";"19. PN Aš. Nanaya-a.a-u.ur, KB 4:176–177= O.45(621/Uk.) "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"282";"A.6(718/ Uk.?) 76*; PN D., M-M 18= K.79(654/Ba.) "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"282";"679/As.) 26* 13. PN Dš. Ka.iru, M-M 14= K.38(658/Uk.) "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"284";".]-pi, AfO 16:43–44 Anhang 1= K.8(666/Uk.) 37** 17. "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"288";"Fehler beim Abrufen des Texts"
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"291";"II 934, Tallqvist NBN 160; cf. names of the type DN-na.ir"
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"348";"Ba.) 4 Nadin-a.i D. PN, BM 122180= L.137a(629/..-k.) 5 "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"349";"Fehler beim Abrufen des Texts"
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"355";"BM 52725= L.171([. . .]/[. . .]) r. 2'** Šamaš-bala.u (possibly "
"Nielsen 2015 Personal Names in Early Neo-Babylonian Legal and Administrative Tablets, 747-626 B.C.E Nisaba 29.pdf";"";"362";"3/II 1224, Wunsch (2014) 309 1/2 1. PN A. Ba."
