"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"29.05.2023 22:57:01"
"Gesucht nach";"A 5240"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"4"              
"Anzahl gefundener Vorkommen";"4"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MAD 3 Gelb 1957 Glossary of Old Akkadian.pdf";"";"230";"is-ku (A 5240). PN? ""compte de NI.GIS.KU et de "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Ras Shamra-Ougarit 5 Bordreuil & Pardee 1983 La Trouvaille Épigraphique de l'Ougarit. 1. Concordance.pdf";"";"316";"inférieure droit. Lettre. A 5240 fragment DSOSyullda6b7iA2q8cureopole, RS 25.438 B 5M2a4g0iquàes0, ,40p.t. x "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MAD 3 Gelb 1957 Glossary of Old Akkadian.pdf";"";"230";"is-ku (A 5240). PN? ""compte de NI.GIS.KU et de "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Ras Shamra-Ougarit 5 Bordreuil & Pardee 1983 La Trouvaille Épigraphique de l'Ougarit. 1. Concordance.pdf";"";"316";"inférieure droit. Lettre. A 5240 fragment DSOSyullda6b7iA2q8cureopole, RS 25.438 B 5M2a4g0iquàes0, ,40p.t. x "
