"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"03.06.2023 22:25:58"
"Gesucht nach";"A 649 A"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"9"              
"Anzahl gefundener Vorkommen";"15"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Sallaberger_2006_LMSZ.pdf";"Zettelkasten2006_09";"658";"63; S. 161; A 649, A 654, A 659 urudutun3-eme-sal Wilcke, RlA "
"Sallaberger_2006_LMSZ.pdf";"Zettelkasten2006_09";"715";"155, S. 161; A 649, A 670 | (""kauen"") zu2-gub-ba # "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Sommerfeld_SUM_Belegsammlung.pdf";"";"3655";"63; S. 161; A 649, A 654, A 659 [Leipzig–Münchner sumerischer Zettelkasten "
"Sommerfeld_SUM_Belegsammlung.pdf";"";"4051";"155, S. 161; A 649, A 670 [Leipzig–Münchner sumerischer Zettelkasten (26. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"LMSZ.pdf";"";"1007";"Z.uk., Z. 54 (K), 63; S. 161; A 649, A 654, A "
"LMSZ.pdf";"";"1007";"63; S. 161; A 649, A 654, A 659 tuntun3-du | M"
"LMSZ.pdf";"";"1112";"155, S. 161; A 649, A 67649, A 670 | (""kauen"")""kauen"") "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Brinkman 1991 Babylonia in the Shadow of Assyria (747-626 BC), CAH III part 2 chapter 21.pdf";"";"27";"II: A 552; A 649; A 533, 8 - 1 3 . Downloaded from "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Volk 1995 Inanna und Shukaletuda. Zur historisch-politischen Deutung eines sumerischen Literaturwerkes SANTAG 3.pdf";"";"120";"63; S. 161; A 649, A 654, A 659 t ur (Verbum) S. "
"Volk 1995 Inanna und Shukaletuda. Zur historisch-politischen Deutung eines sumerischen Literaturwerkes SANTAG 3.pdf";"";"121";"155, S. 161; A 649, A 670 z 11 -1 u m 83("

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OIP 14. Cuneiform Series, Vol. II Inscriptions from from Adab. Daniel David Luckenbill. 1930.pdf";"";"12";"Kontextbezogener Text konnte nicht extrahiert werden. Das Dokument weist eingeschränkte Sicherheitsberechtigungen auf. Das Kopieren von Inhalten ist nicht zulässig."

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OIP 14. Cuneiform Series, Vol. II Inscriptions from from Adab. Daniel David Luckenbill. 1930.pdf";"";"12";"Kontextbezogener Text konnte nicht extrahiert werden. Das Dokument weist eingeschränkte Sicherheitsberechtigungen auf. Das Kopieren von Inhalten ist nicht zulässig."

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Cambridge Ancient History 3.2. Assyrian and Babylonian Empires 8-6th c.pdf";"";"47";"II: A 552; A 649; A 533, 8 - 1 3 . Cambridge Histories "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Indices 1995 Volk SANTAG 3.pdf";"";"6";"63; S. 161; A 649, A 654, A 659 tu r (Verbum) S. "
"Indices 1995 Volk SANTAG 3.pdf";"";"7";"155, S. 161; A 649, A 670 z u -1 u m 83("
