"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"13.06.2023 01:54:35"
"Gesucht nach";"LB 2154"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"3"              
"Anzahl gefundener Vorkommen";"5"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Frankena 1978 Kommentar zu den altbabylonischen Briefen aus Lagaba und anderen Orten SLB 4.pdf";"";"267";"schreiben. 112. (LB 2154) — AbB 3, S.76f. Dieser Brief von Nür-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"AbB 3 Frankena 1968 Briefe aus der Leidener Sammlung (TLB 4).pdf";"";"42";"hrift unmöglich). 112. LB 2154. (Vs.) 1 a-na im-me-ri-j "
"AbB 3 Frankena 1968 Briefe aus der Leidener Sammlung (TLB 4).pdf";"";"42";"unmöglich ). 112. LB 2154. 1 Zu Immerija 2 sprich: 3 also (sagt) "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"AbB 3 Frankena 1968 Briefe aus der Leidener Sammlung (TLB 4).pdf";"";"42";"hrift unmöglich). 112. LB 2154. (Vs.) 1 a-na im-me-ri-j "
"AbB 3 Frankena 1968 Briefe aus der Leidener Sammlung (TLB 4).pdf";"";"42";"unmöglich ). 112. LB 2154. 1 Zu Immerija 2 sprich: 3 also (sagt) "
