"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"13.06.2023 21:26:16"
"Gesucht nach";"LB 2543"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"2"              
"Anzahl gefundener Vorkommen";"10"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Michalowski 2011 The Correspondence of the Kings of Ur. An Epistolary History of an Ancient Mesopotamian Kingdom MC 15.pdf";"";"43";"ExerciJie Tablet Xl LB 2543 (TLB 3 172). This is an almost complete "
"Michalowski 2011 The Correspondence of the Kings of Ur. An Epistolary History of an Ancient Mesopotamian Kingdom MC 15.pdf";"";"135";"4 42-43), LB 2543 ('ILB 3 172), 1M 78644 (IB 733), "
"Michalowski 2011 The Correspondence of the Kings of Ur. An Epistolary History of an Ancient Mesopotamian Kingdom MC 15.pdf";"";"144";"226176 X4 = LB 2543 ens 3172) 6-8 X5=MS3275 X6 = HMA "
"Michalowski 2011 The Correspondence of the Kings of Ur. An Epistolary History of an Ancient Mesopotamian Kingdom MC 15.pdf";"";"156";"12' X3 = LB 2543 (TLB 3 172) 1-4 X4 = HMA "
"Michalowski 2011 The Correspondence of the Kings of Ur. An Epistolary History of an Ancient Mesopotamian Kingdom MC 15.pdf";"";"274";"(IB 733) LB 2543 (lLB 3 172) X (Sippar?) I 1,2,13, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"79";"SL pl. 26) LB 2543 6ff. Ni 4149 (ISET 2 122) *** Ni "
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"79";"SL pl. 33) LB 2543 1-5 MDP 27 87 MDP 27 88 Ni "
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"177";"3.1.1 ... 3.3.9 LB 2543 1-5 3.1.2 Ni 9703 3.3.8 r. 1'-4' "
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"198";"(Ed A) LB 2543 ......... . .. .. .... . . .. . "
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"198";". .... 3.1.1 LB 2543 .. .. ........ .. .. . ....... . . "
