"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"18.06.2023 00:41:47"
"Gesucht nach";"LB 910"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"15"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"4";"in ink on LB 910 is probably Peiser’s number.3 As far as could "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"4";"P45” written on LB 910 edge 1, the number “20” is written ("
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"5";"“P45” on LB 910 (see above) does indeed refer to Peiser’s inventory "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"10";"ARTA 2004.001 10 LB 910 RB 5 27x16 RB 3 17x21 RB 2 21x25 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"12";"“P45” on LB 910 suggest). At any rate, Böhl does not seem to "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"21";"line (see LB 910 side 2). At least four Aramaic characters run approximately "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"21";"mm high (LB 910 side 2), 24 mm wide (LB 911 edge "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"21";"side 2 and LB 910 side 2 (both also with groundline). Goetze ("
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"30";"LB 905 top, LB 910 top, LB 911 top, here figs. 24-6): a "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"31";"figs. 25-6. LB 910 top and LB 911 top"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"58";"1 low high LB 910 RB 5 low high RB 3 low high RB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"59";"2, edge 2 LB 910 edge 1, edge 2 YBC 9900 edge 1-2, "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"59";"907 side 1 LB 910 side 2 LB 911 side 1, edge 1 YBC "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"1, edge 1 LB 910 side 1 LB 912 side 2, edge 1 LB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"61";"LB 908 top LB 910 top LB 911 top YBC 9901 top YBC 17070 "
